year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,10,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90,4,2.99,0,1.01,0,0,0,0,193,149,0,44,0,0
2022,10,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",10,3,0.87,0.77,0,0,1.36,0,0,345,27,219,0,0,99
2022,10,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62,7,1.89,0,4.19,0,0.92,0,0,193,50,0,107,0,36
2022,10,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",14,1,1,0,0,0,0,0,0,15,15,0,0,0,0
2022,10,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",107,17,2.34,0,1.68,0,12.98,4,0,1213,240,0,44,0,929
2022,10,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1172,115,34.04,6.44,26.26,0,48.26,0,0,10526,5378,714,958,0,3476
2022,10,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",140,11,8.28,0,2.72,0,0,0,0,352,289,0,63,0,0
2022,10,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",44,10,3.96,0,4.22,0,1.82,0,1,498,199,0,116,0,183
2022,10,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",62,9,4.6,0,2.01,0,2.39,3,1,863,562,0,178,0,123
2022,10,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",62,4,2.88,0.02,0.12,0,0.98,0,0,194,130,1,2,0,61
2022,10,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",78,16,4.64,0.24,2.74,0,8.39,3,0,1668,867,21,112,0,668
2022,10,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,1,0,0,0,0,1,0,0,28,0,0,0,0,28
2022,10,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",167,30,4.98,0.85,4.48,0,19.69,6,1,1953,429,33,143,0,1348
2022,10,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",31,10,0.84,0,2.6,0,6.56,1,0,842,38,0,76,0,728
2022,10,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,10,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",238,40,14.37,1.6,12.47,0,11.55,6,1,2347,641,108,442,0,1156
2022,10,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",71,11,1.92,2.15,5.11,0,1.83,2,0,1830,1095,303,224,0,208
2022,10,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",64,7,4.38,0.96,0.09,0,1.58,0,0,288,196,45,4,0,43
2022,10,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",141,31,10.71,0,4.1,0,16.2,3,0,1713,488,0,162,0,1063
2022,10,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",251,34,9.72,0,7.61,0,16.67,8,0,2637,826,0,326,0,1485
2022,10,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",93,15,2.26,0,7.56,0,5.18,0,0,1075,70,0,248,0,757
2022,10,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",31,12,3.43,0,3.29,0,5.28,1,0,1446,899,0,94,0,453
2022,10,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",55,5,1.51,1,2.49,0,0,0,0,171,35,29,107,0,0
2022,10,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",133,23,6.68,0,4.12,0,12.21,3,0,1921,296,0,392,0,1233
2022,10,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",198,47,7.98,1.68,18.07,0,19.27,4,0,2799,469,115,957,0,1258
2022,10,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",95,7,5,0,1.1,0,0.9,0,0,1453,1386,0,21,0,46
2022,10,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",273,36,12.4,0,5.18,0,18.42,6,0,3255,926,0,150,0,2179
2022,10,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",280,40,12.56,0.26,10.9,0,16.28,4,0,3007,1009,10,656,0,1332
2022,10,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",97,7,4.19,0,1.46,0,1.34,1,0,448,187,0,52,0,209
2022,10,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,10,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",86,7,3.19,0,2.07,0,1.74,0,2,295,156,0,41,0,98
2022,10,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",564,70,15.37,2.09,17.6,0.36,34.57,6,0,4671,953,196,773,21,2728
2022,10,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",93,6,3,0,2,0,1,0,0,260,159,0,57,0,44
2022,10,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",26,4,2.64,0,0,0,1.36,1,0,266,212,0,0,0,54
2022,10,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",170,27,6.94,0,14.34,0,5.72,2,0,1644,777,0,500,0,367
2022,10,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",62,8,3.75,0,3.22,0,1.03,0,0,340,189,0,116,0,35
2022,10,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",9,1,0.99,0,0.01,0,0,0,0,85,84,0,1,0,0
