Airline,month,total_flights,cancelled_flights,bags_mishandled,oversales,filed_complaints,cancelled_per_flight,Mishanled_per_flight,Filed comlaints per flight
Envoy Air,1,17665,331,5193,408,8,0.018737617,0.293971129,0.000452873
Mesa Airlines,1,11232,172,2392,170,0,0.01531339,0.212962963,0
PSA Airlines,1,12615,373,2809,360,8,0.029567975,0.222671423,0.000634166
Republic Airways,1,21720,271,2850,217,8,0.01247698,0.13121547,0.000368324
SkyWest Airlines,1,52000,588,5084,720,8,0.011307692,0.097769231,0.000153846
Horizon Air,1,8906,122,831,2,2,0.01369863,0.093307882,0.000224568
Endeavor Air,1,19501,23,1388,233,11,0.001179427,0.071175837,0.000564074
Delta Airlines,1,48239,92,6163,570,65,0.001907171,0.127759697,0.001347457
American Airlines,1,38226,258,15874,591,167,0.006749333,0.415267096,0.004368754
Alaska Airlines,1,10628,75,1742,0,46,0.007056831,0.163906662,0.00432819
Hawaiian Airlines,1,3199,7,233,8,13,0.002188184,0.072835261,0.00406377
United Airlines,1,23960,162,5350,289,227,0.006761269,0.223288815,0.009474124
Frontier Airlines,1,6264,21,752,167,80,0.00335249,0.120051086,0.012771392
Southwest Airlines,1,61307,677,11677,487,76,0.011042785,0.190467646,0.001239663
Spirit Airlines,1,11202,99,1826,685,119,0.008837708,0.163006606,0.010623103
Allegiant Air,1,5827,277,250,6,9,0.047537326,0.042903724,0.001544534
Jetblue Airways,1,8937,99,1427,62,62,0.011077543,0.159673268,0.006937451
Envoy Air,2,15648,2233,4483,,9,0.142701943,0.286490286,0.000575153
Mesa Airlines,2,10191,1508,2179,,3,0.147973702,0.213816112,0.000294377
PSA Airlines,2,11491,354,2790,,4,0.030806718,0.242798712,0.000348099
Republic Airways,2,20379,1121,2756,,3,0.055007606,0.135237254,0.00014721
SkyWest Airlines,2,47307,2084,7576,,15,0.044052677,0.160145433,0.000317078
Horizon Air,2,8336,656,1542,,4,0.078694818,0.184980806,0.000479846
Endeavor Air,2,17360,524,1284,,5,0.030184332,0.073963134,0.000288018
Delta Airlines,2,43738,868,6720,,50,0.019845443,0.153642142,0.001143171
American Airlines,2,34256,2140,18830,,172,0.062470808,0.549684727,0.005021018
Alaska Airlines,2,11375,689,3594,,27,0.060571429,0.315956044,0.002373626
Hawaiian Airlines,2,2707,4,293,,7,0.001477651,0.108237902,0.002585888
United Airlines,2,22280,1093,9629,,185,0.049057451,0.432181329,0.008303411
Frontier Airlines,2,6582,98,863,,66,0.014889091,0.131115163,0.010027347
Southwest Airlines,2,52733,3840,11677,,45,0.072819676,0.221436292,0.000853356
Spirit Airlines,2,10105,349,1375,,90,0.034537358,0.136071252,0.008906482
Allegiant Air,2,7977,443,347,,26,0.055534662,0.043500063,0.003259371
Jetblue Airways,2,10003,426,1854,,64,0.042587224,0.185344397,0.006398081
Envoy Air,3,19760,231,5011,,16,0.011690283,0.253593117,0.000809717
Mesa Airlines,3,12573,133,2400,,2,0.010578223,0.19088523,0.000159071
PSA Airlines,3,15943,21,3172,,7,0.001317192,0.198958791,0.000439064
Republic Airways,3,25776,36,3131,,11,0.001396648,0.121469584,0.000426754
SkyWest Airlines,3,57629,1504,6325,,18,0.026097972,0.10975377,0.000312343
Horizon Air,3,9572,110,1398,,1,0.011491851,0.146050982,0.000104471
Endeavor Air,3,21394,0,1439,,11,0,0.067261849,0.000514163
Delta Airlines,3,55856,150,7965,,73,0.002685477,0.142598826,0.001306932
American Airlines,3,47648,296,22172,,231,0.006212223,0.46532908,0.004848052
Alaska Airlines,3,14531,229,4251,,38,0.015759411,0.292546969,0.002615099
Hawaiian Airlines,3,3268,7,518,,23,0.002141983,0.158506732,0.007037944
United Airlines,3,28946,728,7836,,258,0.02515028,0.270710979,0.008913149
Frontier Airlines,3,10886,325,1573,,71,0.029854859,0.14449752,0.006522139
Southwest Airlines,3,80574,1782,19055,,85,0.022116315,0.236490679,0.001054931
Spirit Airlines,3,14687,56,2646,,101,0.003812896,0.180159325,0.00687683
Allegiant Air,3,11709,87,511,,19,0.007430182,0.043641643,0.001622683
Jetblue Airways,3,13724,71,2369,,80,0.005173419,0.172617313,0.005829204
